user_id,signup_date,city_tier,segment,preferred_device,lifetime_sessions,lifetime_orders,first_order_date,last_order_date,repeat_rate_flag,lifetime_revenue,user_value_band
u000001,2025-07-16,1,premium,mobile,3.0,0.0,,,0,0.0,low
u000002,2025-12-29,3,regular,mobile,5.0,1.0,2025-11-14 09:34:01,2025-11-14 09:34:01,0,11632.7,high
u000003,2025-11-26,3,value,mobile,2.0,0.0,,,0,0.0,low
u000004,2025-09-01,2,value,mobile,5.0,1.0,2025-11-06 14:06:09,2025-11-06 14:06:09,0,9153.61,high
u000005,2025-10-06,1,regular,web,2.0,0.0,,,0,0.0,low
u000006,2025-11-09,1,value,web,3.0,0.0,,,0,0.0,low
u000007,2025-06-28,2,value,web,2.0,0.0,,,0,0.0,low
u000008,2025-10-06,2,premium,mobile,3.0,0.0,,,0,0.0,low
u000009,2025-11-24,2,value,mobile,3.0,0.0,,,0,0.0,low
u000010,2025-08-01,1,premium,mobile,5.0,0.0,,,0,0.0,low
u000011,2025-09-24,2,regular,web,4.0,0.0,,,0,0.0,low
u000012,2025-10-13,3,regular,web,5.0,0.0,,,0,0.0,low
u000013,2025-11-24,2,regular,mobile,3.0,1.0,2025-12-04 17:09:01,2025-12-04 17:09:01,0,5763.81,high
u000014,2026-01-11,2,value,mobile,3.0,0.0,,,0,0.0,low
u000015,2025-12-18,1,regular,web,5.0,0.0,,,0,0.0,low
u000016,2025-10-31,2,value,web,1.0,0.0,,,0,0.0,low
u000017,2025-10-24,2,premium,web,4.0,2.0,2025-11-09 03:06:16,2026-01-15 05:17:35,1,18172.43,high
u000018,2025-10-28,3,value,web,2.0,0.0,,,0,0.0,low
u000019,2025-10-15,3,value,web,5.0,1.0,2025-12-21 04:16:33,2025-12-21 04:16:33,0,7555.56,high
u000020,2025-07-05,3,regular,web,0.0,0.0,,,0,0.0,low
u000021,2025-11-17,3,regular,mobile,4.0,0.0,,,0,0.0,low
u000022,2025-11-20,3,regular,web,2.0,0.0,,,0,0.0,low
u000023,2025-10-09,3,regular,web,4.0,0.0,,,0,0.0,low
u000024,2025-12-23,1,value,web,3.0,0.0,,,0,0.0,low
u000025,2025-11-11,1,regular,mobile,5.0,0.0,,,0,0.0,low
u000026,2025-09-07,2,value,web,2.0,0.0,,,0,0.0,low
u000027,2025-06-27,2,value,web,1.0,0.0,,,0,0.0,low
u000028,2025-07-05,1,value,web,4.0,0.0,,,0,0.0,low
u000029,2025-09-05,3,value,mobile,3.0,0.0,,,0,0.0,low
u000030,2025-09-28,2,value,mobile,2.0,0.0,,,0,0.0,low
u000031,2025-07-28,2,regular,web,3.0,0.0,,,0,0.0,low
