session_id,user_id,start_ts,device,channel,campaign_id,variant,is_new_user,add_to_cart,begin_checkout,landing_view,payment_attempt,product_view,purchase,has_product_view,has_add_to_cart,has_begin_checkout,has_payment_attempt,has_purchase,time_to_cart_sec,time_to_checkout_sec,time_to_purchase_sec,session_duration_sec
s0000001,u001627,2025-10-26 15:56:31,web,organic,c025,a,1,,,2025-10-26 15:57:00,,,,0,0,0,0,0,,,,0.0
s0000002,u001038,2025-12-09 21:56:53,mobile,paid_social,c037,,0,,,2025-12-09 21:57:20,,,,0,0,0,0,0,,,,0.0
s0000003,,2025-11-24 21:24:21,web,organic,c034,,0,,,2025-11-24 21:24:50,,2025-11-24 21:25:13,,1,0,0,0,0,,,,23.0
s0000004,u001072,2025-12-02 06:51:38,mobile,organic,c013,,0,,,2025-12-02 06:53:06,,,,0,0,0,0,0,,,,0.0
s0000005,u001301,2025-11-28 16:03:05,mobile,paid_social,c004,,1,,,2025-11-28 16:04:04,,2025-11-28 16:05:44,,1,0,0,0,0,,,,100.0
s0000006,u001775,2025-11-04 05:23:59,web,email,c005,,1,,,2025-11-04 05:25:42,,,,0,0,0,0,0,,,,0.0
s0000007,u001565,2025-11-10 06:23:02,web,organic,c009,a,1,,,2025-11-10 06:24:35,,,,0,0,0,0,0,,,,0.0
s0000008,u000613,2025-10-27 06:33:38,mobile,email,c025,,0,,,2025-10-27 06:34:59,,2025-10-27 06:36:31,,1,0,0,0,0,,,,92.0
s0000009,u000544,2025-10-31 19:35:34,mobile,organic,c020,,0,,,2025-10-31 19:36:50,,2025-10-31 19:37:14,,1,0,0,0,0,,,,24.0
s0000010,,2026-01-17 10:49:44,web,organic,c012,,0,,,2026-01-17 10:50:44,,,,0,0,0,0,0,,,,0.0
s0000011,u001420,2025-11-15 14:54:56,web,organic,c008,b,0,,,2025-11-15 14:56:01,,2025-11-15 14:57:15,,1,0,0,0,0,,,,74.0
s0000012,u000809,2025-11-18 01:45:04,mobile,organic,c021,,0,,,2025-11-18 01:45:13,,,,0,0,0,0,0,,,,0.0
s0000013,u001845,2025-11-01 21:07:32,web,organic,c039,,0,,,2025-11-01 21:07:54,,,,0,0,0,0,0,,,,0.0
s0000014,u000921,2025-12-28 09:43:51,web,paid_social,c031,,0,,,2025-12-28 09:45:32,,2025-12-28 09:45:55,,1,0,0,0,0,,,,23.0
s0000015,u000739,2026-01-12 14:43:28,web,email,c011,a,0,2026-01-12 14:46:04,2026-01-12 14:48:03,2026-01-12 14:44:10,2026-01-12 14:49:36,2026-01-12 14:44:34,2026-01-12 14:51:02,1,1,1,1,1,90.0,209.0,388.0,412.0
